id,question,intent,expected_answer_summary,expected_source
Q01,"What is the deadline for regular enrollment this semester?",informational,"Provide exact date window and official notice reference.","Enrollment regulation"
Q02,"Can I enroll in more credits than the standard load?",informational,"Explain conditions and approval requirements.","Enrollment regulation"
Q03,"What happens if I miss the enrollment payment deadline?",informational,"Describe consequences and recovery options.","Enrollment payment policy"
Q04,"Who is eligible for merit-based scholarships?",informational,"List eligibility criteria and required evidence.","Scholarship rules"
Q05,"Can I combine scholarship A with scholarship B?",informational,"Clarify compatibility and exclusions.","Scholarship compatibility section"
Q06,"Where do I submit scholarship appeals?",informational,"Provide office, channel, and deadline.","Scholarship appeals process"
Q07,"What documents are required to start an internship agreement?",informational,"List required forms and signatures.","Internship procedure"
Q08,"What is the minimum number of internship hours?",informational,"Provide required hours and exceptions.","Internship regulation"
Q09,"Can I do my internship in a remote company?",informational,"Explain allowed formats and constraints.","Internship modality section"
Q10,"How do I request an exam review?",informational,"Provide steps, deadlines, and escalation path.","Exam review policy"
Q11,"What is the deadline for submitting final project topic proposals?",informational,"Return date and submission channel.","Academic calendar"
Q12,"How can I request credit recognition for prior studies?",informational,"Explain process, evidence, and timeline.","Credit recognition policy"
Q13,"Is there a penalty for late final project submission?",informational,"Provide rules for late submission and consequences.","Final project regulation"
Q14,"What is the process for requesting a timetable conflict exception?",informational,"Return formal request steps and approval authority.","Timetable exception procedure"
Q15,"How do I contact student support for administrative issues?",informational,"Provide official channels and office hours.","Student services protocol"
Q16,"Draft an email to the academic office asking for enrollment exception.",action,"Generate formal draft including context, request, and respectful close.","Enrollment exception policy"
Q17,"Draft an email to internship coordination requesting agreement validation.",action,"Generate formal request with required details checklist.","Internship procedure"
Q18,"Draft an email asking for exam review based on official process.",action,"Generate formal draft aligned with regulation and timeline.","Exam review policy"
Q19,"Draft an email to scholarship office asking about missing document.",action,"Generate concise formal follow-up draft with student context placeholders.","Scholarship process"
Q20,"Draft an email to student services requesting appointment for credit recognition.",action,"Generate appointment request draft with required attachments mention.","Credit recognition policy"
